================ Training Loss (Fri Feb 27 02:32:31 2026) ================
[Rank 0] (epoch: 42, iters: 760, time: 0.076, data: 0.001) , D_A: 0.048, G_A: 0.602, cycle_A: 0.463, idt_A: 0.208, D_B: 0.157, G_B: 0.175, cycle_B: 0.638, idt_B: 0.143

[Rank 0] (epoch: 42, iters: 860, time: 0.075, data: 0.001) , D_A: 0.162, G_A: 0.537, cycle_A: 0.597, idt_A: 0.148, D_B: 0.192, G_B: 0.212, cycle_B: 0.621, idt_B: 0.175

[Rank 0] (epoch: 42, iters: 960, time: 0.075, data: 0.002) , D_A: 0.125, G_A: 0.478, cycle_A: 0.561, idt_A: 0.217, D_B: 0.284, G_B: 0.479, cycle_B: 0.631, idt_B: 0.148

[Rank 0] (epoch: 42, iters: 1060, time: 0.074, data: 0.001) , D_A: 0.283, G_A: 0.362, cycle_A: 0.378, idt_A: 0.171, D_B: 0.066, G_B: 0.297, cycle_B: 0.567, idt_B: 0.143

[Rank 0] (epoch: 43, iters: 40, time: 0.076, data: 0.001) , D_A: 0.086, G_A: 0.580, cycle_A: 0.399, idt_A: 0.212, D_B: 0.131, G_B: 0.433, cycle_B: 0.608, idt_B: 0.148

[Rank 0] (epoch: 43, iters: 140, time: 0.077, data: 0.001) , D_A: 0.072, G_A: 0.539, cycle_A: 0.507, idt_A: 0.239, D_B: 0.213, G_B: 0.354, cycle_B: 0.699, idt_B: 0.153

[Rank 0] (epoch: 43, iters: 240, time: 0.077, data: 0.001) , D_A: 0.182, G_A: 0.363, cycle_A: 0.432, idt_A: 0.234, D_B: 0.189, G_B: 0.506, cycle_B: 0.928, idt_B: 0.134

[Rank 0] (epoch: 43, iters: 340, time: 0.077, data: 0.001) , D_A: 0.167, G_A: 0.307, cycle_A: 0.365, idt_A: 0.246, D_B: 0.118, G_B: 0.596, cycle_B: 0.772, idt_B: 0.134

[Rank 0] (epoch: 43, iters: 440, time: 0.075, data: 0.001) , D_A: 0.141, G_A: 0.345, cycle_A: 0.358, idt_A: 0.271, D_B: 0.273, G_B: 0.272, cycle_B: 0.725, idt_B: 0.131

[Rank 0] (epoch: 43, iters: 540, time: 0.078, data: 0.001) , D_A: 0.171, G_A: 0.459, cycle_A: 0.416, idt_A: 0.222, D_B: 0.114, G_B: 0.725, cycle_B: 0.696, idt_B: 0.143

[Rank 0] (epoch: 43, iters: 640, time: 0.076, data: 0.001) , D_A: 0.077, G_A: 0.473, cycle_A: 0.739, idt_A: 0.282, D_B: 0.257, G_B: 0.489, cycle_B: 0.824, idt_B: 0.210

[Rank 0] (epoch: 43, iters: 740, time: 0.076, data: 0.001) , D_A: 0.087, G_A: 0.927, cycle_A: 0.597, idt_A: 0.206, D_B: 0.085, G_B: 0.516, cycle_B: 0.621, idt_B: 0.232

[Rank 0] (epoch: 43, iters: 840, time: 0.075, data: 0.001) , D_A: 0.252, G_A: 0.530, cycle_A: 0.350, idt_A: 0.241, D_B: 0.123, G_B: 0.353, cycle_B: 0.621, idt_B: 0.120

[Rank 0] (epoch: 43, iters: 940, time: 0.076, data: 0.001) , D_A: 0.308, G_A: 0.339, cycle_A: 0.875, idt_A: 0.194, D_B: 0.109, G_B: 0.381, cycle_B: 0.682, idt_B: 0.255

[Rank 0] (epoch: 43, iters: 1040, time: 0.075, data: 0.001) , D_A: 0.219, G_A: 0.172, cycle_A: 0.551, idt_A: 0.229, D_B: 0.052, G_B: 0.776, cycle_B: 0.674, idt_B: 0.150

[Rank 0] (epoch: 44, iters: 20, time: 0.075, data: 0.003) , D_A: 0.219, G_A: 0.301, cycle_A: 0.430, idt_A: 0.223, D_B: 0.154, G_B: 0.400, cycle_B: 0.898, idt_B: 0.100

[Rank 0] (epoch: 44, iters: 120, time: 0.078, data: 0.001) , D_A: 0.161, G_A: 1.479, cycle_A: 0.378, idt_A: 0.254, D_B: 0.116, G_B: 0.303, cycle_B: 0.803, idt_B: 0.132

[Rank 0] (epoch: 44, iters: 220, time: 0.078, data: 0.001) , D_A: 0.093, G_A: 0.985, cycle_A: 0.388, idt_A: 0.323, D_B: 0.125, G_B: 0.361, cycle_B: 0.878, idt_B: 0.126

[Rank 0] (epoch: 44, iters: 320, time: 0.077, data: 0.001) , D_A: 0.093, G_A: 0.429, cycle_A: 0.597, idt_A: 0.309, D_B: 0.071, G_B: 1.056, cycle_B: 0.774, idt_B: 0.170

[Rank 0] (epoch: 44, iters: 420, time: 0.075, data: 0.001) , D_A: 0.159, G_A: 0.245, cycle_A: 0.756, idt_A: 0.318, D_B: 0.140, G_B: 1.094, cycle_B: 0.867, idt_B: 0.175

[Rank 0] (epoch: 44, iters: 520, time: 0.075, data: 0.001) , D_A: 0.147, G_A: 0.624, cycle_A: 0.486, idt_A: 0.359, D_B: 0.116, G_B: 0.540, cycle_B: 0.992, idt_B: 0.138

[Rank 0] (epoch: 44, iters: 620, time: 0.075, data: 0.001) , D_A: 0.108, G_A: 0.474, cycle_A: 0.608, idt_A: 0.279, D_B: 0.157, G_B: 0.359, cycle_B: 0.721, idt_B: 0.190

[Rank 0] (epoch: 44, iters: 720, time: 0.078, data: 0.001) , D_A: 0.081, G_A: 0.923, cycle_A: 0.591, idt_A: 0.199, D_B: 0.304, G_B: 0.132, cycle_B: 0.594, idt_B: 0.267

[Rank 0] (epoch: 44, iters: 820, time: 0.077, data: 0.001) , D_A: 0.129, G_A: 0.587, cycle_A: 0.350, idt_A: 0.207, D_B: 0.271, G_B: 0.613, cycle_B: 0.660, idt_B: 0.105

[Rank 0] (epoch: 44, iters: 920, time: 0.075, data: 0.001) , D_A: 0.109, G_A: 0.463, cycle_A: 0.696, idt_A: 0.192, D_B: 0.131, G_B: 0.391, cycle_B: 0.599, idt_B: 0.116

[Rank 0] (epoch: 44, iters: 1020, time: 0.077, data: 0.001) , D_A: 0.169, G_A: 0.328, cycle_A: 0.358, idt_A: 0.243, D_B: 0.252, G_B: 0.481, cycle_B: 0.705, idt_B: 0.096

