epoch,iteration,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
64,220,0.12,0.603,0.48,0.229,0.116,0.38,0.666,0.172
64,320,0.071,0.738,0.388,0.215,0.137,0.388,0.704,0.209
64,420,0.065,0.897,0.359,0.222,0.132,0.653,0.654,0.117
64,520,0.052,0.706,0.4,0.161,0.072,0.687,0.464,0.103
64,620,0.295,0.848,0.595,0.196,0.386,1.258,0.669,0.212
64,720,0.053,0.96,0.373,0.264,0.133,0.459,0.818,0.077
64,820,0.144,0.584,0.535,0.248,0.167,0.448,0.64,0.154
64,920,0.108,0.458,0.572,0.199,0.084,0.448,0.586,0.186
64,1020,0.07,0.753,0.442,0.241,0.086,0.544,0.671,0.137
64,1120,0.06,0.816,0.837,0.272,0.126,0.603,0.54,0.235
65,100,0.043,0.325,0.541,0.228,0.146,0.273,0.589,0.141
65,200,0.268,1.015,0.515,0.336,0.162,0.754,0.573,0.141
65,300,0.067,0.526,0.325,0.196,0.154,0.48,0.58,0.107
65,400,0.212,0.277,0.322,0.182,0.123,0.366,0.521,0.111
65,500,0.206,1.228,0.296,0.207,0.135,0.679,0.611,0.158
65,600,0.081,0.388,0.464,0.21,0.086,1.034,0.675,0.153
65,700,0.184,1.289,0.422,0.208,0.121,0.611,0.755,0.099
65,800,0.075,0.29,0.528,0.187,0.143,0.361,0.593,0.144
65,900,0.261,0.718,0.278,0.212,0.083,0.61,0.657,0.141
65,1000,0.032,0.524,0.621,0.246,0.06,0.714,0.776,0.176
65,1100,0.041,0.847,0.718,0.187,0.152,0.746,0.684,0.219
66,80,0.044,0.592,0.705,0.182,0.086,0.514,0.74,0.468
66,180,0.189,0.409,0.341,0.247,0.039,0.699,0.849,0.111
66,280,0.09,0.923,0.374,0.202,0.275,0.321,0.724,0.115
66,380,0.075,0.43,0.349,0.198,0.109,0.418,0.655,0.11
66,480,0.078,0.54,0.403,0.181,0.093,0.272,0.598,0.124
66,580,0.028,0.67,0.409,0.28,0.179,0.536,0.803,0.145
66,680,0.114,0.527,0.637,0.17,0.101,0.291,0.543,0.122
66,780,0.152,0.278,0.498,0.23,0.036,0.884,0.725,0.135
66,880,0.14,0.397,0.376,0.185,0.036,0.813,0.594,0.119
66,980,0.039,0.855,0.404,0.268,0.299,1.771,0.717,0.091
66,1080,0.111,0.902,0.341,0.226,0.112,0.647,0.749,0.115
67,60,0.101,0.387,0.473,0.183,0.131,0.44,0.669,0.145
67,160,0.034,0.492,0.506,0.181,0.176,0.336,0.546,0.131
67,260,0.309,0.318,0.333,0.183,0.172,0.631,0.523,0.228
67,360,0.115,0.767,0.401,0.155,0.082,0.457,0.58,0.124
67,460,0.108,0.964,0.543,0.203,0.066,0.535,0.678,0.136
67,560,0.147,0.435,0.45,0.164,0.083,0.533,0.526,0.15
67,660,0.093,0.474,0.746,0.231,0.153,0.505,0.728,0.177
67,760,0.121,0.453,0.39,0.375,0.072,0.547,0.753,0.138
67,860,0.081,0.435,0.568,0.21,0.074,0.735,0.632,0.182
67,960,0.084,0.397,0.515,0.194,0.053,0.46,0.528,0.115
67,1060,0.099,0.224,0.368,0.277,0.186,0.541,0.737,0.086
68,40,0.082,0.214,0.455,0.266,0.048,0.703,0.769,0.101
68,140,0.037,0.837,0.553,0.296,0.12,0.993,0.882,0.158
68,240,0.147,0.352,0.642,0.165,0.122,0.405,0.408,0.195
68,340,0.17,0.654,0.477,0.261,0.122,0.374,0.89,0.175
68,440,0.018,0.496,0.46,0.354,0.096,0.636,0.733,0.101
68,540,0.067,0.871,0.353,0.343,0.166,0.555,0.866,0.114
68,640,0.022,0.97,0.299,0.354,0.033,0.334,0.848,0.09
68,740,0.04,1.081,0.373,0.391,0.06,0.299,0.818,0.128
68,840,0.12,0.47,0.574,0.324,0.059,0.682,0.96,0.172
68,940,0.045,0.433,0.441,0.267,0.05,0.428,0.649,0.097
68,1040,0.136,0.706,0.441,0.255,0.053,0.546,0.716,0.143
69,20,0.146,0.337,0.339,0.305,0.097,0.57,0.703,0.109
69,120,0.075,0.76,0.573,0.25,0.102,0.497,1.036,0.185
